Name,Unit,Expression,Value,Comments,Favorite
base_x,mm,45 mm,45.00,,false
base_z,mm,100 mm,100.00,,false
base_y,mm,35 mm,35.00,,false
base_wall_thickness,mm,1.2 mm,1.20,,false
motor_hole_diameter,mm,10 mm,10.00,,false
motor_mount_diameter,mm,4 mm,4.00,,false
motor_mount_offset_x,mm,17.5 mm,17.50,,false
motor_mount_hole_offset_z,mm,8 mm,8.00,,false
motor_hole_offset_z,mm,15 mm,15.00,,false
motor_control_board_hole_diameter,mm,2 mm,2.00,,false
motor_control_board_hole_offset_x,mm,13.2 mm,13.20,,false
motor_control_board_hole_offset_z,mm,55 mm,55.00,,false
motor_control_board_hole_spacing_z,mm,30 mm,30.00,,false
motor_spindle_diameter,mm,5 mm,5.00,,false
motor_spindle_flat,mm,3.2 mm,3.20,,false
arm_x,mm,250 mm,250.00,,false
arm_z,mm,10 mm,10.00,,false
arm_y,mm,4 mm,4.00,,false
arm_offset_x,mm,30 mm,30.00,,false
light_box_x,mm,14 mm,14.00,,false
light_box_z,mm,40 mm,40.00,,false
light_box_y,mm,8 mm,8.00,,false
light_box_pole_diameter,mm,4 mm,4.00,,false
light_box_bulb_diameter,mm,9 mm,9.00,,false
light_box_bulb_spacing,mm,17 mm,17.00,,false
light_box_bulb_offset_z,mm,7 mm,7.00,,false
light_box_bleed_stop_height,mm,2 mm,2.00,,false
light_box_bulb_shade_thickness,mm,1 mm,1.00,,false
mcu_standoff_thickness,mm,1.2 mm,1.20,,false
mcu_standoff_length,mm,5 mm,5.00,,false
switch_hole_y,mm,7 mm,7.00,,false
switch_hole_z,mm,4 mm,4.00,,false
switch_mount_diameter,mm,2 mm,2.00,,false
power_switch_offset_y,mm,5 mm,5.00,,false
power_switch_offset_z,mm,10 mm,10.00,,false
toggle_switch_offset_z,mm,10 mm,10.00,,false
switch_mount_offset,mm,7.45 mm,7.45,,false
jog_button_y,mm,6.1 mm,6.10,,false
jog_button_z,mm,6.1 mm,6.10,,false
jog_button_offset_x,mm,5 mm,5.00,,false
clearance_tolerance,mm,0.1 mm,0.10,,false
base_fixing_offset,mm,8 mm,8.00,,false
